ID da Nota,Filial,Cidade,Tipo de Cliente,Gênero,Departamento,Preço Unitário,Quantidade,Imposto 5%,Total da Venda,Data,Hora,Forma de Pagamento,Custo das Mercadorias,Margem Bruta %,Lucro Bruto,Avaliação
371-85-5789,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Saúde e Beleza,87.98,3,13.197,277.137,2022-11-15 17:43:50.763826,10:40:00 AM,Carteira Digital,263.94,4.761904762,13.197,5.1
273-16-6619,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Casa e Estilo de Vida,33.2,2,3.32,69.72,2022-11-16 17:43:50.763826,12:20:00 PM,Cartão de Crédito,66.4,4.761904762,3.32,4.4
636-48-8204,Alex,São Paulo,Cliente Fiel,Feminino,Acessórios Eletrônicos,34.56,5,8.64,181.44,2022-11-17 17:43:50.763826,11:15:00 AM,Carteira Digital,172.8,4.761904762,8.64,9.9
549-59-1358,Alex,São Paulo,Cliente Fiel,Feminino,Esportes e Viagens,88.63,3,13.2945,279.1845,2022-11-18 17:43:50.763826,5:36:00 PM,Carteira Digital,265.89,4.761904762,13.2945,6.0
227-03-5010,Alex,São Paulo,Cliente Fiel,Feminino,Casa e Estilo de Vida,52.59,8,21.036,441.756,2022-11-19 17:43:50.763826,7:20:00 PM,Cartão de Crédito,420.72,4.761904762,21.036,8.5
649-29-6775,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Acessórios de Moda,33.52,1,1.676,35.196,2022-11-20 17:43:50.763826,3:31:00 PM,Dinheiro,33.52,4.761904762,1.676,6.7
189-17-4241,Alex,São Paulo,Cliente Fiel,Feminino,Acessórios de Moda,87.67,2,8.767,184.107,2022-11-21 17:43:50.763826,12:17:00 PM,Cartão de Crédito,175.34,4.761904762,8.767,7.7
145-94-9061,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Alimentos e Bebidas,88.36,5,22.09,463.89,2022-11-22 17:43:50.763826,7:48:00 PM,Dinheiro,441.8,4.761904762,22.09,9.6
848-62-7243,Alex,São Paulo,Cliente Fiel,Feminino,Saúde e Beleza,24.89,9,11.2005,235.2105,2022-11-23 17:43:50.763826,3:36:00 PM,Dinheiro,224.01,4.761904762,11.2005,7.4
871-79-8483,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Acessórios de Moda,94.13,5,23.5325,494.1825,2022-11-24 17:43:50.763826,7:39:00 PM,Cartão de Crédito,470.65,4.761904762,23.5325,4.8
149-71-6266,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Esportes e Viagens,78.07,9,35.1315,737.7615,2022-11-25 17:43:50.763826,12:43:00 PM,Dinheiro,702.63,4.761904762,35.1315,4.5
640-49-2076,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Esportes e Viagens,83.78,8,33.512,703.752,2022-11-26 17:43:50.763826,2:49:00 PM,Dinheiro,670.24,4.761904762,33.512,5.1
595-11-5460,Alex,São Paulo,Cliente Fiel,Feminino,Saúde e Beleza,96.58,2,9.658,202.818,2022-11-27 17:43:50.763826,10:12:00 AM,Cartão de Crédito,193.16,4.761904762,9.658,5.1
183-56-6882,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Alimentos e Bebidas,99.42,4,19.884,417.564,2022-11-28 17:43:50.763826,10:42:00 AM,Carteira Digital,397.68,4.761904762,19.884,7.5
232-16-2483,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Esportes e Viagens,68.12,1,3.406,71.526,2022-11-29 17:43:50.763826,12:28:00 PM,Carteira Digital,68.12,4.761904762,3.406,6.8
129-29-8530,Alex,São Paulo,Cliente Fiel,Feminino,Esportes e Viagens,62.62,5,15.655,328.755,2022-11-30 17:43:50.763826,7:15:00 PM,Carteira Digital,313.1,4.761904762,15.655,7.0
272-65-1806,Alex,São Paulo,Cliente Fiel,Feminino,Acessórios Eletrônicos,60.88,9,27.396,575.316,2022-12-01 17:43:50.763826,5:17:00 PM,Carteira Digital,547.92,4.761904762,27.396,4.7
333-73-7901,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Saúde e Beleza,54.92,8,21.968,461.328,2022-12-02 17:43:50.763826,1:24:00 PM,Carteira Digital,439.36,4.761904762,21.968,7.6
777-82-7220,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Casa e Estilo de Vida,30.12,8,12.048,253.008,2022-12-03 17:43:50.763826,1:01:00 PM,Dinheiro,240.96,4.761904762,12.048,7.7
280-35-5823,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Casa e Estilo de Vida,86.72,1,4.336,91.056,2022-12-04 17:43:50.763826,6:45:00 PM,Carteira Digital,86.72,4.761904762,4.336,7.9
554-53-8700,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Casa e Estilo de Vida,56.11,2,5.611,117.831,2022-12-05 17:43:50.763826,10:11:00 AM,Dinheiro,112.22,4.761904762,5.611,6.3
354-25-5821,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Esportes e Viagens,69.12,6,20.736,435.456,2022-12-06 17:43:50.763826,1:03:00 PM,Dinheiro,414.72,4.761904762,20.736,5.6
228-96-1411,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Alimentos e Bebidas,98.7,8,39.48,829.08,2022-12-07 17:43:50.763826,8:39:00 PM,Dinheiro,789.6,4.761904762,39.48,7.6
617-15-4209,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Saúde e Beleza,15.37,2,1.537,32.277,2022-12-08 17:43:50.763826,7:47:00 PM,Dinheiro,30.74,4.761904762,1.537,7.2
132-32-9879,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Acessórios Eletrônicos,93.96,4,18.792,394.632,2022-12-09 17:43:50.763826,6:00:00 PM,Dinheiro,375.84,4.761904762,18.792,9.5
370-41-7321,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Saúde e Beleza,56.69,9,25.5105,535.7205,2022-12-10 17:43:50.763826,5:24:00 PM,Cartão de Crédito,510.21,4.761904762,25.5105,8.4
727-46-3608,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Alimentos e Bebidas,20.01,9,9.0045,189.0945,2022-12-11 17:43:50.763826,3:47:00 PM,Carteira Digital,180.09,4.761904762,9.0045,4.1
669-54-1719,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Acessórios Eletrônicos,18.93,6,5.679,119.259,2022-12-12 17:43:50.763826,12:45:00 PM,Cartão de Crédito,113.58,4.761904762,5.679,8.1
574-22-5561,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios de Moda,82.63,10,41.315,867.615,2022-12-13 17:43:50.763826,5:08:00 PM,Carteira Digital,826.3,4.761904762,41.315,7.9
326-78-5178,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Alimentos e Bebidas,91.4,7,31.99,671.79,2022-12-14 17:43:50.763826,10:19:00 AM,Dinheiro,639.8,4.761904762,31.99,9.5
162-48-8011,Alex,São Paulo,Cliente Fiel,Feminino,Alimentos e Bebidas,44.59,5,11.1475,234.0975,2022-12-15 17:43:50.763826,3:10:00 PM,Dinheiro,222.95,4.761904762,11.1475,8.5
616-24-2851,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Acessórios de Moda,17.87,4,3.574,75.054,2022-12-16 17:43:50.763826,2:42:00 PM,Carteira Digital,71.48,4.761904762,3.574,6.5
778-71-5554,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios de Moda,15.43,1,0.7715,16.2015,2022-12-17 17:43:50.763826,3:46:00 PM,Cartão de Crédito,15.43,4.761904762,0.7715,6.1
242-55-6721,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Casa e Estilo de Vida,16.16,2,1.616,33.936,2022-12-18 17:43:50.763826,11:49:00 AM,Carteira Digital,32.32,4.761904762,1.616,6.5
399-46-5918,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios Eletrônicos,85.98,8,34.392,722.232,2022-12-19 17:43:50.763826,7:01:00 PM,Dinheiro,687.84,4.761904762,34.392,8.2
106-35-6779,Alex,São Paulo,Cliente Fiel,Feminino,Casa e Estilo de Vida,44.34,2,4.434,93.114,2022-12-20 17:43:50.763826,11:26:00 AM,Dinheiro,88.68,4.761904762,4.434,5.8
635-40-6220,Alex,São Paulo,Cliente Fiel,Feminino,Saúde e Beleza,89.6,8,35.84,752.64,2022-12-21 17:43:50.763826,11:28:00 AM,Carteira Digital,716.8,4.761904762,35.84,6.6
817-48-8732,Alex,São Paulo,Cliente Fiel,Feminino,Casa e Estilo de Vida,72.35,10,36.175,759.675,2022-12-22 17:43:50.763826,3:55:00 PM,Dinheiro,723.5,4.761904762,36.175,5.4
120-06-4233,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios Eletrônicos,30.61,6,9.183,192.843,2022-12-23 17:43:50.763826,8:36:00 PM,Dinheiro,183.66,4.761904762,9.183,9.3
285-68-5083,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Esportes e Viagens,24.74,3,3.711,77.931,2022-12-24 17:43:50.763826,5:47:00 PM,Cartão de Crédito,74.22,4.761904762,3.711,10.0
803-83-5989,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Casa e Estilo de Vida,55.73,6,16.719,351.099,2022-12-25 17:43:50.763826,10:55:00 AM,Carteira Digital,334.38,4.761904762,16.719,7.0
347-34-2234,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Esportes e Viagens,55.07,9,24.7815,520.4115,2022-12-26 17:43:50.763826,1:40:00 PM,Carteira Digital,495.63,4.761904762,24.7815,10.0
199-75-8169,Alex,São Paulo,Cliente Fiel,Feminino,Esportes e Viagens,15.81,10,7.905,166.005,2022-12-27 17:43:50.763826,12:27:00 PM,Cartão de Crédito,158.1,4.761904762,7.905,8.6
853-23-2453,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Saúde e Beleza,75.74,4,15.148,318.108,2022-12-28 17:43:50.763826,2:35:00 PM,Dinheiro,302.96,4.761904762,15.148,7.6
877-22-3308,Alex,São Paulo,Cliente Fiel,Feminino,Saúde e Beleza,15.87,10,7.935,166.635,2022-12-29 17:43:50.763826,4:40:00 PM,Dinheiro,158.7,4.761904762,7.935,5.8
838-78-4295,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Saúde e Beleza,33.47,2,3.347,70.287,2022-12-30 17:43:50.763826,3:43:00 PM,Carteira Digital,66.94,4.761904762,3.347,6.7
109-28-2512,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Acessórios de Moda,97.61,6,29.283,614.943,2022-12-31 17:43:50.763826,3:01:00 PM,Carteira Digital,585.66,4.761904762,29.283,9.9
232-11-3025,Alex,São Paulo,Cliente Fiel,Feminino,Esportes e Viagens,78.77,10,39.385,827.085,2023-01-01 17:43:50.763826,10:04:00 AM,Dinheiro,787.7,4.761904762,39.385,6.4
382-03-4532,Alex,São Paulo,Cliente Fiel,Feminino,Saúde e Beleza,18.33,1,0.9165,19.2465,2023-01-02 17:43:50.763826,6:50:00 PM,Dinheiro,18.33,4.761904762,0.9165,4.3
393-65-2792,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Alimentos e Bebidas,89.48,10,44.74,939.54,2023-01-03 17:43:50.763826,12:46:00 PM,Cartão de Crédito,894.8,4.761904762,44.74,9.6
796-12-2025,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios de Moda,62.12,10,31.06,652.26,2023-01-04 17:43:50.763826,4:19:00 PM,Dinheiro,621.2,4.761904762,31.06,5.9
510-95-6347,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Alimentos e Bebidas,48.52,3,7.278,152.838,2023-01-05 17:43:50.763826,6:17:00 PM,Carteira Digital,145.56,4.761904762,7.278,4.0
841-35-6630,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios Eletrônicos,75.91,6,22.773,478.233,2023-01-06 17:43:50.763826,6:21:00 PM,Dinheiro,455.46,4.761904762,22.773,8.7
287-21-9091,Alex,São Paulo,Cliente Fiel,Feminino,Casa e Estilo de Vida,74.67,9,33.6015,705.6315,2023-01-07 17:43:50.763826,10:55:00 AM,Carteira Digital,672.03,4.761904762,33.6015,9.4
732-94-0499,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios Eletrônicos,41.65,10,20.825,437.325,2023-01-08 17:43:50.763826,5:04:00 PM,Cartão de Crédito,416.5,4.761904762,20.825,5.4
263-10-3913,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios de Moda,49.04,9,22.068,463.428,2023-01-09 17:43:50.763826,2:20:00 PM,Cartão de Crédito,441.36,4.761904762,22.068,8.6
381-20-0914,Alex,São Paulo,Cliente Fiel,Feminino,Acessórios de Moda,20.01,9,9.0045,189.0945,2023-01-10 17:43:50.763826,3:48:00 PM,Cartão de Crédito,180.09,4.761904762,9.0045,5.7
829-49-1914,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Alimentos e Bebidas,78.31,10,39.155,822.255,2023-01-11 17:43:50.763826,4:24:00 PM,Carteira Digital,783.1,4.761904762,39.155,6.6
756-01-7507,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Saúde e Beleza,20.38,5,5.095,106.995,2023-01-12 17:43:50.763826,6:56:00 PM,Dinheiro,101.9,4.761904762,5.095,6.0
870-72-4431,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Saúde e Beleza,99.19,6,29.757,624.897,2023-01-13 17:43:50.763826,2:42:00 PM,Cartão de Crédito,595.14,4.761904762,29.757,5.5
847-38-7188,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Alimentos e Bebidas,96.68,3,14.502,304.542,2023-01-14 17:43:50.763826,7:56:00 PM,Carteira Digital,290.04,4.761904762,14.502,6.4
480-63-2856,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Alimentos e Bebidas,19.25,8,7.7,161.7,2023-01-15 17:43:50.763826,6:37:00 PM,Carteira Digital,154.0,4.761904762,7.7,6.6
787-56-0757,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Alimentos e Bebidas,80.36,4,16.072,337.512,2023-01-16 17:43:50.763826,6:45:00 PM,Cartão de Crédito,321.44,4.761904762,16.072,8.3
360-39-5055,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Esportes e Viagens,48.91,5,12.2275,256.7775,2023-01-17 17:43:50.763826,10:17:00 AM,Dinheiro,244.55,4.761904762,12.2275,6.6
730-50-9884,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Esportes e Viagens,83.06,7,29.071,610.491,2023-01-18 17:43:50.763826,2:31:00 PM,Carteira Digital,581.42,4.761904762,29.071,4.0
362-58-8315,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios de Moda,76.52,5,19.13,401.73,2023-01-19 17:43:50.763826,10:23:00 AM,Dinheiro,382.6,4.761904762,19.13,9.9
633-44-8566,Alex,São Paulo,Cliente Fiel,Feminino,Alimentos e Bebidas,49.38,7,17.283,362.943,2023-01-20 17:43:50.763826,8:35:00 PM,Cartão de Crédito,345.66,4.761904762,17.283,7.3
504-35-8843,Alex,São Paulo,Cliente Fiel,Feminino,Esportes e Viagens,42.47,1,2.1235,44.5935,2023-01-21 17:43:50.763826,4:57:00 PM,Dinheiro,42.47,4.761904762,2.1235,5.7
318-68-5053,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Saúde e Beleza,76.99,6,23.097,485.037,2023-01-22 17:43:50.763826,5:55:00 PM,Dinheiro,461.94,4.761904762,23.097,6.1
565-80-5980,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Casa e Estilo de Vida,47.38,4,9.476,198.996,2023-01-23 17:43:50.763826,10:25:00 AM,Dinheiro,189.52,4.761904762,9.476,7.1
225-32-0908,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Esportes e Viagens,44.86,10,22.43,471.03,2023-01-24 17:43:50.763826,7:54:00 PM,Carteira Digital,448.6,4.761904762,22.43,8.2
873-51-0671,Alex,São Paulo,Cliente Fiel,Feminino,Esportes e Viagens,21.98,7,7.693,161.553,2023-01-25 17:43:50.763826,4:42:00 PM,Carteira Digital,153.86,4.761904762,7.693,5.1
152-08-9985,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Saúde e Beleza,64.36,9,28.962,608.202,2023-01-26 17:43:50.763826,12:09:00 PM,Cartão de Crédito,579.24,4.761904762,28.962,8.6
512-91-0811,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Saúde e Beleza,89.75,1,4.4875,94.2375,2023-01-27 17:43:50.763826,8:05:00 PM,Cartão de Crédito,89.75,4.761904762,4.4875,6.6
594-34-4444,Alex,São Paulo,Cliente Fiel,Feminino,Acessórios Eletrônicos,97.16,1,4.858,102.018,2023-01-28 17:43:50.763826,8:38:00 PM,Carteira Digital,97.16,4.761904762,4.858,7.2
766-85-7061,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Saúde e Beleza,87.87,10,43.935,922.635,2023-01-29 17:43:50.763826,10:25:00 AM,Carteira Digital,878.7,4.761904762,43.935,5.1
871-39-9221,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios Eletrônicos,12.45,6,3.735,78.435,2023-01-30 17:43:50.763826,1:11:00 PM,Dinheiro,74.7,4.761904762,3.735,4.1
865-92-6136,Alex,São Paulo,Cliente Fiel,Feminino,Alimentos e Bebidas,52.75,3,7.9125,166.1625,2023-01-31 17:43:50.763826,10:16:00 AM,Carteira Digital,158.25,4.761904762,7.9125,9.3
733-01-9107,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Casa e Estilo de Vida,82.7,6,24.81,521.01,2023-02-01 17:43:50.763826,6:14:00 PM,Dinheiro,496.2,4.761904762,24.81,7.4
163-56-7055,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios de Moda,48.71,1,2.4355,51.1455,2023-02-02 17:43:50.763826,7:20:00 PM,Dinheiro,48.71,4.761904762,2.4355,4.1
189-98-2939,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios de Moda,78.55,9,35.3475,742.2975,2023-02-03 17:43:50.763826,1:22:00 PM,Dinheiro,706.95,4.761904762,35.3475,7.2
551-21-3069,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios Eletrônicos,23.07,9,10.3815,218.0115,2023-02-04 17:43:50.763826,11:27:00 AM,Dinheiro,207.63,4.761904762,10.3815,4.9
212-62-1842,Alex,São Paulo,Cliente Fiel,Feminino,Alimentos e Bebidas,58.26,6,17.478,367.038,2023-02-05 17:43:50.763826,4:44:00 PM,Dinheiro,349.56,4.761904762,17.478,9.9
716-39-1409,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Saúde e Beleza,30.35,7,10.6225,223.0725,2023-02-06 17:43:50.763826,6:19:00 PM,Dinheiro,212.45,4.761904762,10.6225,8.0
704-48-3927,Alex,São Paulo,Cliente Fiel,Feminino,Acessórios Eletrônicos,88.67,10,44.335,931.035,2023-02-07 17:43:50.763826,2:50:00 PM,Carteira Digital,886.7,4.761904762,44.335,7.3
628-34-3388,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios de Moda,27.38,6,8.214,172.494,2023-02-08 17:43:50.763826,8:54:00 PM,Cartão de Crédito,164.28,4.761904762,8.214,7.9
630-74-5166,Alex,São Paulo,Cliente Fiel,Feminino,Esportes e Viagens,62.13,6,18.639,391.419,2023-02-09 17:43:50.763826,8:19:00 PM,Dinheiro,372.78,4.761904762,18.639,7.4
588-01-7461,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Alimentos e Bebidas,33.98,9,15.291,321.111,2023-02-10 17:43:50.763826,10:43:00 AM,Dinheiro,305.82,4.761904762,15.291,4.2
861-77-0145,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios Eletrônicos,81.97,10,40.985,860.685,2023-02-11 17:43:50.763826,2:30:00 PM,Dinheiro,819.7,4.761904762,40.985,9.2
479-26-8945,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Esportes e Viagens,16.49,2,1.649,34.629,2023-02-12 17:43:50.763826,11:32:00 AM,Carteira Digital,32.98,4.761904762,1.649,4.6
210-67-5886,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Saúde e Beleza,98.21,3,14.7315,309.3615,2023-02-13 17:43:50.763826,10:41:00 AM,Cartão de Crédito,294.63,4.761904762,14.7315,7.8
227-78-1148,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Acessórios de Moda,72.84,7,25.494,535.374,2023-02-14 17:43:50.763826,12:44:00 PM,Dinheiro,509.88,4.761904762,25.494,8.4
645-44-1170,Alex,São Paulo,Cliente Fiel,Feminino,Casa e Estilo de Vida,58.07,9,26.1315,548.7615,2023-02-15 17:43:50.763826,8:07:00 PM,Carteira Digital,522.63,4.761904762,26.1315,4.3
237-01-6122,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Casa e Estilo de Vida,80.79,9,36.3555,763.4655,2023-02-16 17:43:50.763826,8:31:00 PM,Cartão de Crédito,727.11,4.761904762,36.3555,9.5
225-98-1496,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Acessórios de Moda,27.02,3,4.053,85.113,2023-02-17 17:43:50.763826,1:01:00 PM,Cartão de Crédito,81.06,4.761904762,4.053,7.1
291-32-1427,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Acessórios de Moda,21.94,5,5.485,115.185,2023-02-18 17:43:50.763826,12:29:00 PM,Carteira Digital,109.7,4.761904762,5.485,5.3
659-65-8956,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Acessórios de Moda,51.36,1,2.568,53.928,2023-02-19 17:43:50.763826,3:26:00 PM,Carteira Digital,51.36,4.761904762,2.568,5.2
642-32-2990,Alex,São Paulo,Cliente Fiel,Feminino,Alimentos e Bebidas,10.96,10,5.48,115.08,2023-02-20 17:43:50.763826,8:48:00 PM,Carteira Digital,109.6,4.761904762,5.48,6.0
378-24-2715,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Casa e Estilo de Vida,53.44,2,5.344,112.224,2023-02-21 17:43:50.763826,8:38:00 PM,Carteira Digital,106.88,4.761904762,5.344,4.1
638-60-7125,Alex,São Paulo,Cliente Fiel,Feminino,Acessórios Eletrônicos,99.56,8,39.824,836.304,2023-02-22 17:43:50.763826,5:03:00 PM,Cartão de Crédito,796.48,4.761904762,39.824,5.2
659-36-1684,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Esportes e Viagens,57.12,7,19.992,419.832,2023-02-23 17:43:50.763826,12:02:00 PM,Cartão de Crédito,399.84,4.761904762,19.992,6.5
219-22-9386,Cairo,Belo Horizonte,Cliente Fiel,Feminino,Esportes e Viagens,99.96,9,44.982,944.622,2023-02-24 17:43:50.763826,5:26:00 PM,Cartão de Crédito,899.64,4.761904762,44.982,4.2
336-78-2147,Giza,Rio de Janeiro,Cliente Fiel,Feminino,Casa e Estilo de Vida,63.91,8,25.564,536.844,2023-02-25 17:43:50.763826,7:52:00 PM,Cartão de Crédito,511.28,4.761904762,25.564,4.6
